Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Union Station,01-Jan-19,178, $729.80 , $311.50 
Union Station,02-Jan-19,208, $832.00 , $572.00 
Union Station,03-Jan-19,92, $211.60 , $243.80 
Union Station,04-Jan-19,77, $392.70 , $103.95 
Union Station,05-Jan-19,171, $923.40 , $384.75 
Union Station,06-Jan-19,263, $552.30 , $407.65 
Union Station,07-Jan-19,165, $528.00 , $371.25 
Union Station,08-Jan-19,275," $1,402.50 ", $453.75 
Union Station,09-Jan-19,112, $403.20 , $308.00 
Union Station,10-Jan-19,267," $1,041.30 ", $226.95 
Union Station,11-Jan-19,207, $828.00 , $445.05 
Union Station,12-Jan-19,205," $1,168.50 ", $563.75 
Union Station,13-Jan-19,202," $1,151.40 ", $373.70 
Union Station,14-Jan-19,239," $1,075.50 ", $227.05 
Union Station,15-Jan-19,123, $651.90 , $104.55 
Union Station,16-Jan-19,20, $116.00 , $37.00 
Union Station,17-Jan-19,252," $1,512.00 ", $592.20 
Union Station,18-Jan-19,35, $112.00 , $33.25 
Union Station,19-Jan-19,52, $119.60 , $96.20 
Union Station,20-Jan-19,227, $749.10 , $397.25 
Union Station,21-Jan-19,45, $198.00 , $92.25 
Union Station,22-Jan-19,188, $827.20 , $347.80 
Union Station,23-Jan-19,68, $278.80 , $180.20 
Union Station,24-Jan-19,64, $358.40 , $169.60 
Union Station,25-Jan-19,58, $290.00 , $49.30 
Union Station,26-Jan-19,17, $71.40 , $16.15 
Union Station,27-Jan-19,238," $1,023.40 ", $487.90 
Union Station,28-Jan-19,194, $620.80 , $184.30 
Union Station,29-Jan-19,192, $883.20 , $240.00 
Union Station,30-Jan-19,192, $806.40 , $278.40 
Union Station,31-Jan-19,11, $29.70 , $25.85 
Union Station,01-Feb-19,249, $647.40 , $535.35 
Union Station,02-Feb-19,167, $751.50 , $442.55 
Union Station,03-Feb-19,76, $319.20 , $57.00 
Union Station,04-Feb-19,268," $1,608.00 ", $361.80 
Union Station,05-Feb-19,47, $150.40 , $68.15 
Union Station,06-Feb-19,181, $959.30 , $171.95 
Union Station,07-Feb-19,57, $131.10 , $122.55 
Union Station,08-Feb-19,28, $75.60 , $37.80 
