Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Distillery District,01-Jan-19,109, $632.20 , $288.85 
Distillery District,02-Jan-19,89, $391.60 , $66.75 
Distillery District,03-Jan-19,71, $340.80 , $195.25 
Distillery District,04-Jan-19,20, $86.00 , $41.00 
Distillery District,05-Jan-19,69, $372.60 , $72.45 
Distillery District,06-Jan-19,14, $65.80 , $23.10 
Distillery District,07-Jan-19,129, $632.10 , $341.85 
Distillery District,08-Jan-19,139, $722.80 , $215.45 
Distillery District,09-Jan-19,26, $78.00 , $58.50 
Distillery District,10-Jan-19,87, $295.80 , $134.85 
Distillery District,11-Jan-19,72, $432.00 , $154.80 
Distillery District,12-Jan-19,9, $22.50 , $10.35 
Distillery District,13-Jan-19,35, $140.00 , $26.25 
Distillery District,14-Jan-19,73, $408.80 , $164.25 
Distillery District,15-Jan-19,67, $388.60 , $130.65 
Distillery District,16-Jan-19,19, $100.70 , $33.25 
Distillery District,17-Jan-19,127, $533.40 , $234.95 
Distillery District,18-Jan-19,71, $340.80 , $53.25 
Distillery District,19-Jan-19,47, $197.40 , $35.25 
Distillery District,20-Jan-19,80, $320.00 , $132.00 
Distillery District,21-Jan-19,69, $400.20 , $127.65 
Distillery District,22-Jan-19,18, $88.20 , $35.10 
Distillery District,23-Jan-19,32, $134.40 , $40.00 
Distillery District,24-Jan-19,111, $643.80 , $194.25 
Distillery District,25-Jan-19,2, $5.60 , $2.30 
Distillery District,26-Jan-19,70, $378.00 , $178.50 
Distillery District,27-Jan-19,53, $169.60 , $135.15 
Distillery District,28-Jan-19,10, $37.00 , $19.50 
Distillery District,29-Jan-19,63, $226.80 , $135.45 
Distillery District,30-Jan-19,121, $520.30 , $199.65 
Distillery District,31-Jan-19,38, $106.40 , $89.30 
Distillery District,01-Feb-19,73, $423.40 , $98.55 
Distillery District,02-Feb-19,21, $98.70 , $47.25 
Distillery District,03-Feb-19,100, $590.00 , $185.00 
Distillery District,04-Feb-19,101, $606.00 , $146.45 
Distillery District,05-Feb-19,70, $175.00 , $171.50 
Distillery District,06-Feb-19,100, $300.00 , $165.00 
Distillery District,07-Feb-19,14, $70.00 , $38.50 
Distillery District,08-Feb-19,44, $145.20 , $46.20 
Distillery District,09-Feb-19,43, $197.80 , $118.25 
Distillery District,10-Feb-19,85, $187.00 , $80.75 
Distillery District,11-Feb-19,130, $416.00 , $227.50 
Distillery District,12-Feb-19,55, $126.50 , $46.75 
Distillery District,13-Feb-19,33, $102.30 , $87.45 
Distillery District,14-Feb-19,56, $302.40 , $92.40 
Distillery District,15-Feb-19,38, $117.80 , $51.30 
Distillery District,16-Feb-19,70, $308.00 , $150.50 
Distillery District,17-Feb-19,81, $186.30 , $222.75 
Distillery District,18-Feb-19,44, $189.20 , $99.00 
Distillery District,19-Feb-19,12, $51.60 , $9.00 
Distillery District,20-Feb-19,83, $265.60 , $228.25 
Distillery District,21-Feb-19,77, $223.30 , $119.35 
Distillery District,22-Feb-19,101, $222.20 , $146.45 
Distillery District,23-Feb-19,21, $81.90 , $47.25 
Distillery District,24-Feb-19,71, $404.70 , $60.35 
Distillery District,25-Feb-19,11, $56.10 , $30.25 
Distillery District,26-Feb-19,61, $164.70 , $106.75 
Distillery District,27-Feb-19,111, $299.70 , $238.65 
Distillery District,28-Feb-19,48, $177.60 , $93.60 
Distillery District,01-Mar-19,88, $193.60 , $233.20 
Distillery District,02-Mar-19,10, $53.00 , $15.50 
Distillery District,03-Mar-19,35, $203.00 , $89.25 
