Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Rogers Center,01-Jan-19,400," $1,080.00 ", $540.00 
Rogers Center,02-Jan-19,322," $1,030.40 ", $466.90 
Rogers Center,03-Jan-19,354," $1,982.40 ", $548.70 
Rogers Center,04-Jan-19,336," $1,579.20 ", $453.60 
Rogers Center,05-Jan-19,201," $1,165.80 ", $311.55 
Rogers Center,06-Jan-19,36, $90.00 , $30.60 
Rogers Center,07-Jan-19,124, $446.40 , $142.60 
Rogers Center,08-Jan-19,456," $2,097.60 "," $1,026.00 "
Rogers Center,09-Jan-19,182, $364.00 , $245.70 
Rogers Center,10-Jan-19,337," $1,550.20 ", $286.45 
Rogers Center,11-Jan-19,246," $1,230.00 ", $455.10 
Rogers Center,12-Jan-19,356," $1,922.40 ", $480.60 
Rogers Center,13-Jan-19,557," $2,896.40 "," $1,308.95 "
Rogers Center,14-Jan-19,427," $1,537.20 ", $320.25 
Rogers Center,15-Jan-19,75, $427.50 , $108.75 
Rogers Center,16-Jan-19,299," $1,405.30 ", $343.85 
Rogers Center,17-Jan-19,311, $622.00 , $295.45 
Rogers Center,18-Jan-19,335," $1,440.50 ", $887.75 
Rogers Center,19-Jan-19,5, $11.00 , $7.75 
Rogers Center,20-Jan-19,23, $96.60 , $37.95 
Rogers Center,21-Jan-19,245, $563.50 , $330.75 
Rogers Center,22-Jan-19,434," $1,736.00 ", $325.50 
Rogers Center,23-Jan-19,179, $608.60 , $331.15 
Rogers Center,24-Jan-19,329, $855.40 , $378.35 
Rogers Center,25-Jan-19,45, $162.00 , $51.75 
Rogers Center,26-Jan-19,28, $128.80 , $26.60 
Rogers Center,27-Jan-19,364," $2,184.00 ", $673.40 
Rogers Center,28-Jan-19,260, $702.00 , $559.00 
Rogers Center,29-Jan-19,126, $743.40 , $258.30 
Rogers Center,30-Jan-19,86, $180.60 , $159.10 
Rogers Center,31-Jan-19,444," $1,287.60 ", $865.80 
Rogers Center,01-Feb-19,140, $350.00 , $217.00 
Rogers Center,02-Feb-19,441," $1,543.50 "," $1,080.45 "
Rogers Center,03-Feb-19,157, $643.70 , $431.75 
Rogers Center,04-Feb-19,304," $1,672.00 ", $775.20 
Rogers Center,05-Feb-19,48, $264.00 , $117.60 
Rogers Center,06-Feb-19,435," $2,131.50 ", $413.25 
Rogers Center,07-Feb-19,498," $2,938.20 ", $622.50 
Rogers Center,08-Feb-19,204, $571.20 , $214.20 
Rogers Center,09-Feb-19,135, $783.00 , $371.25 
Rogers Center,10-Feb-19,542," $1,680.20 ", $406.50 
Rogers Center,11-Feb-19,258," $1,341.60 ", $270.90 
Rogers Center,12-Feb-19,476," $1,190.00 "," $1,023.40 "
Rogers Center,13-Feb-19,385," $1,501.50 ", $712.25 
Rogers Center,14-Feb-19,123, $738.00 , $301.35 
Rogers Center,15-Feb-19,251," $1,179.70 ", $564.75 
Rogers Center,16-Feb-19,67, $368.50 , $184.25 
Rogers Center,17-Feb-19,338, $946.40 , $726.70 
Rogers Center,18-Feb-19,218, $523.20 , $250.70 
Rogers Center,19-Feb-19,513," $3,026.70 "," $1,102.95 "
Rogers Center,20-Feb-19,15, $57.00 , $27.75 
Rogers Center,21-Feb-19,104, $447.20 , $182.00 
Rogers Center,22-Feb-19,540," $2,268.00 ", $837.00 
Rogers Center,23-Feb-19,171, $718.20 , $162.45 
Rogers Center,24-Feb-19,66, $363.00 , $69.30 
Rogers Center,25-Feb-19,71, $426.00 , $60.35 
Rogers Center,26-Feb-19,306," $1,774.80 ", $688.50 
Rogers Center,27-Feb-19,7, $32.90 , $12.25 
Rogers Center,28-Feb-19,67, $180.90 , $103.85 
Rogers Center,01-Mar-19,114, $649.80 , $199.50 
Rogers Center,02-Mar-19,309," $1,390.50 ", $571.65 
Rogers Center,03-Mar-19,491," $1,914.90 ", $662.85 
Rogers Center,04-Mar-19,247, $543.40 , $605.15 
Rogers Center,05-Mar-19,167, $567.80 , $242.15 
Rogers Center,06-Mar-19,104, $374.40 , $161.20 
Rogers Center,07-Mar-19,124, $533.20 , $266.60 
